"order_id","order_date","customer_id","customer_name","product_id","product_name","category","region","segment","channel","campaign_id","campaign_name","amount_spend","clicks","total_users","new_users","revenue","orders","new_orders","cost","gross_margin","net_profit","refund_rate","cart_abandonment_rate","promotion_roi","discount_amount","tax_amount","shipping_cost","payment_method","device_type","country","city"
"ORD00026","2024-01-26","CUST3866","Customer_450","P854","Product_43","Home","South","Corporate","Paid Search","CMP956","Campaign_9","4129","5436","1611","1384","109056","1019","145","49984","59072","58428","4.18","81.25","2541.22","5080.30","13086.72","6340.46","Card","Desktop","UK","Ahmedabad"
"ORD00027","2024-01-27","CUST7961","Customer_531","P822","Product_23","Fashion","West","Corporate","Organic","CMP801","Campaign_30","1762","5083","3524","150","89279","971","569","37689","51590","50585","2.51","80.9","4966.91","2907.54","10713.48","3094.01","Wallet","Mobile","India","Ahmedabad"
"ORD00028","2024-01-28","CUST7962","Customer_215","P591","Product_52","Beauty","East","Consumer","Social","CMP996","Campaign_11","1193","2489","2183","1964","168450","1410","460","35033","133417","132266","5.78","43.35","14019.87","8654.72","20214.00","3601.07","Wallet","Tablet","Germany","Chennai"
"ORD00029","2024-01-29","CUST3686","Customer_638","P778","Product_67","Books","West","SMB","Organic","CMP388","Campaign_2","2397","5409","712","331","198196","1775","229","46772","151424","150046","0.87","67.18","8168.50","8993.63","23783.52","4987.43","UPI","Desktop","USA","Chennai"
"ORD00030","2024-01-30","CUST1478","Customer_874","P534","Product_87","Home","South","SMB","Affiliate","CMP856","Campaign_20","1679","3648","2161","717","149653","1413","131","79394","70259","69608","5.76","61.27","8813.22","7757.55","17958.36","9094.62","Wallet","Tablet","Germany","Ahmedabad"
"ORD00031","2024-01-31","CUST1294","Customer_232","P609","Product_26","Fashion","South","Corporate","Affiliate","CMP382","Campaign_31","1345","4321","1217","753","69175","482","84","11949","57226","56443","0.69","88.85","5043.12","3772.79","8301.00","2596.39","Wallet","Mobile","Canada","Ahmedabad"
"ORD00032","2024-02-01","CUST4301","Customer_501","P849","Product_20","Electronics","West","Consumer","Organic","CMP604","Campaign_21","1741","7665","1952","1442","83373","795","70","19231","64142","63227","7.62","89.63","4688.80","6240.78","10004.76","2309.57","Card","Mobile","Germany","Chennai"
"ORD00033","2024-02-02","CUST6548","Customer_722","P841","Product_19","Home","North","Consumer","Affiliate","CMP968","Campaign_2","1246","3272","1958","702","144629","1441","678","47358","97271","96264","3.71","55.96","11507.46","15629.32","17355.48","10478.26","UPI","Desktop","Germany","Chennai"
"ORD00034","2024-02-03","CUST7251","Customer_261","P189","Product_36","Sports","South","SMB","Paid Search","CMP495","Campaign_36","3955","6581","3771","3042","209004","1598","1500","63081","145923","145786","1.15","75.72","5184.55","5288.27","25080.48","4519.77","NetBanking","Desktop","India","Bengaluru"
"ORD00035","2024-02-04","CUST8694","Customer_144","P522","Product_16","Books","West","Corporate","Paid Search","CMP887","Campaign_27","1803","3949","2909","2345","156654","1219","835","46906","109748","109301","4.2","69.13","8588.52","16971.68","18798.48","3690.44","Wallet","Mobile","UK","Ahmedabad"
"ORD00036","2024-02-05","CUST7219","Customer_286","P231","Product_49","Books","South","Consumer","Affiliate","CMP329","Campaign_24","2736","8530","1378","569","201884","1032","236","51240","150644","149351","1.64","87.9","7278.80","19841.73","24226.08","2643.61","UPI","Mobile","USA","Kolkata"
"ORD00037","2024-02-06","CUST2556","Customer_801","P426","Product_59","Fashion","North","SMB","Affiliate","CMP797","Campaign_20","3554","8899","3318","2951","338398","1867","1607","89436","248962","248453","3.83","79.02","9421.61","8228.71","40607.76","12500.33","Card","Mobile","Canada","Pune"
"ORD00038","2024-02-07","CUST8123","Customer_517","P636","Product_77","Electronics","South","Corporate","Organic","CMP941","Campaign_14","1425","8028","3331","2945","310583","1600","196","44625","265958","264873","3.06","80.07","21695.30","11876.99","37269.96","9976.71","NetBanking","Mobile","Canada","Kolkata"
"ORD00039","2024-02-08","CUST9470","Customer_181","P306","Product_87","Sports","East","SMB","Paid Search","CMP956","Campaign_30","2355","2500","3032","1487","236408","1116","337","65967","170441","170161","2.3","55.36","9938.56","17848.51","28368.96","7114.26","Wallet","Tablet","Germany","Kolkata"
"ORD00040","2024-02-09","CUST4316","Customer_415","P312","Product_29","Sports","West","Corporate","Email","CMP978","Campaign_10","1554","4224","1833","1558","106853","860","77","28214","78639","77295","6.93","79.64","6776.00","2483.52","12822.36","3953.12","Wallet","Mobile","Germany","Ahmedabad"
"ORD00041","2024-02-10","CUST9507","Customer_515","P303","Product_57","Sports","West","SMB","Social","CMP742","Campaign_3","2518","1297","2165","1126","80692","750","171","36268","44424","43866","5.31","42.17","3104.61","6533.41","9683.04","3884.18","NetBanking","Mobile","UK","Chennai"
"ORD00042","2024-02-11","CUST8077","Customer_158","P661","Product_39","Electronics","West","Consumer","Email","CMP202","Campaign_36","4131","1660","799","230","299173","1614","1495","47709","251464","251125","3.94","2.77","7142.14","32683.99","35900.76","8124.13","NetBanking","Desktop","Germany","Delhi"
"ORD00043","2024-02-12","CUST9966","Customer_559","P667","Product_61","Electronics","North","Consumer","Paid Search","CMP575","Campaign_11","1457","8634","2057","651","260801","1528","36","61049","199752","199004","3.96","82.3","17799.86","25044.59","31296.12","7873.22","Wallet","Desktop","USA","Hyderabad"
"ORD00044","2024-02-13","CUST5975","Customer_882","P337","Product_25","Fashion","East","SMB","Organic","CMP527","Campaign_1","1966","2712","961","254","262477","1535","232","52621","209856","209379","2.32","43.4","13250.81","10736.93","31497.24","8807.4","NetBanking","Desktop","UK","Kolkata"
"ORD00045","2024-02-14","CUST7566","Customer_612","P366","Product_35","Electronics","West","SMB","Affiliate","CMP367","Campaign_14","3206","1650","2392","494","84565","1011","188","26459","58106","57546","4.01","38.73","2537.71","4211.85","10147.80","6823.11","Wallet","Mobile","India","Hyderabad"
"ORD00046","2024-02-15","CUST7035","Customer_238","P480","Product_22","Sports","North","Corporate","Social","CMP311","Campaign_31","1986","7204","3094","951","146600","695","343","31871","114729","113702","7.75","90.35","7281.67","13013.87","17592.00","4698.12","UPI","Desktop","USA","Hyderabad"
"ORD00047","2024-02-16","CUST7424","Customer_940","P825","Product_73","Home","North","Corporate","Email","CMP992","Campaign_32","2265","2881","3081","2076","263666","1768","1544","85361","178305","177091","5.84","38.63","11540.88","7351.11","31639.92","8964.55","NetBanking","Desktop","USA","Delhi"
"ORD00048","2024-02-17","CUST3490","Customer_468","P693","Product_58","Sports","South","SMB","Organic","CMP482","Campaign_35","1819","1374","2418","1071","188992","1061","1012","43198","145794","145605","2.83","22.78","10289.88","10094.57","22679.04","7081.11","Wallet","Desktop","India","Delhi"
"ORD00049","2024-02-18","CUST6558","Customer_112","P617","Product_50","Books","West","Consumer","Affiliate","CMP438","Campaign_7","4114","3110","3667","2027","88977","1255","190","46784","42193","41363","6.41","59.65","2062.79","7705.63","10677.24","6415.53","NetBanking","Tablet","UK","Chennai"
"ORD00050","2024-02-19","CUST6841","Customer_616","P742","Product_38","Beauty","East","SMB","Affiliate","CMP379","Campaign_13","2632","2597","1690","974","94256","910","153","48132","46124","45843","2.91","64.96","3481.16","6775.81","11310.72","4861.62","Wallet","Mobile","India","Chennai"
"ORD00051","2024-02-20","CUST4995","Customer_767","P486","Product_52","Fashion","South","Consumer","Organic","CMP736","Campaign_31","2276","1378","2935","1986","156854","1303","472","81759","75095","73940","3.71","5.44","6791.65","15168.76","18822.48","5717.58","UPI","Tablet","Germany","Kolkata"
"ORD00052","2024-02-21","CUST4187","Customer_672","P745","Product_25","Home","North","Consumer","Paid Search","CMP608","Campaign_7","2889","3041","1345","527","244699","1567","1480","95342","149357","148489","3.67","48.47","8370.02","18298.72","29363.88","10477.59","Card","Tablet","USA","Mumbai"
"ORD00053","2024-02-22","CUST3184","Customer_234","P879","Product_72","Electronics","North","Consumer","Paid Search","CMP494","Campaign_10","3951","8502","1811","483","214594","1036","167","51607","162987","162753","6.57","87.81","5331.38","5370.62","25751.28","6911.54","Wallet","Mobile","UK","Bengaluru"
"ORD00054","2024-02-23","CUST3703","Customer_242","P333","Product_79","Sports","North","Corporate","Organic","CMP415","Campaign_13","3932","1560","521","165","88400","1050","713","42782","45618","44771","2.8","32.69","2148.22","2436.56","10608.00","5148.71","Card","Desktop","Canada","Hyderabad"
"ORD00055","2024-02-24","CUST2739","Customer_386","P628","Product_60","Sports","West","Corporate","Social","CMP870","Campaign_13","1810","1726","2335","1280","82640","716","216","28302","54338","52952","3.81","58.52","4465.75","7906.36","9916.80","2593.1","UPI","Tablet","USA","Kolkata"
"ORD00056","2024-02-25","CUST1262","Customer_773","P886","Product_61","Electronics","North","SMB","Email","CMP634","Campaign_23","3643","7460","578","518","198180","1027","874","31372","166808","165942","5.95","86.23","5340.02","13736.27","23781.60","2568.77","Card","Tablet","USA","Mumbai"
"ORD00057","2024-02-26","CUST4017","Customer_676","P489","Product_61","Home","East","Consumer","Email","CMP471","Campaign_25","3868","2731","1846","1166","193237","1664","1396","40476","152761","152367","6.37","39.07","4895.79","18212.73","23188.44","7589.74","UPI","Mobile","UK","Mumbai"
"ORD00058","2024-02-27","CUST2459","Customer_627","P469","Product_73","Electronics","East","Corporate","Affiliate","CMP539","Campaign_34","2728","3790","669","376","66755","650","344","17678","49077","48641","5.39","82.85","2347.03","1641.06","8010.60","4674.65","Wallet","Tablet","India","Mumbai"
"ORD00059","2024-02-28","CUST8717","Customer_120","P783","Product_13","Electronics","South","Corporate","Organic","CMP445","Campaign_3","2290","7883","593","411","50203","433","401","13981","36222","35505","3.23","94.51","2092.27","5313.19","6024.36","3237.57","Card","Mobile","UK","Kolkata"
"ORD00060","2024-02-29","CUST2309","Customer_553","P173","Product_38","Electronics","West","SMB","Paid Search","CMP878","Campaign_8","2610","7077","1783","1533","107527","1533","56","30204","77323","76971","2.6","78.34","4019.81","7000.16","12903.24","5364.44","Wallet","Mobile","USA","Delhi"
"ORD00061","2024-03-01","CUST5706","Customer_483","P511","Product_68","Fashion","South","Corporate","Social","CMP909","Campaign_27","1134","7421","1100","723","246542","1337","697","38570","207972","207770","6.13","81.98","21640.92","17629.46","29585.04","4441.53","UPI","Desktop","Canada","Hyderabad"
"ORD00062","2024-03-02","CUST1438","Customer_923","P304","Product_47","Beauty","South","SMB","Social","CMP966","Campaign_8","2598","1557","2303","1111","223724","1104","453","57798","165926","165733","0.75","29.09","8511.39","22422.95","26846.88","5639.09","NetBanking","Tablet","Germany","Hyderabad"
"ORD00063","2024-03-03","CUST1156","Customer_185","P841","Product_25","Sports","West","Consumer","Social","CMP504","Campaign_14","4007","5168","3383","624","124384","1868","750","37631","86753","86454","1.64","63.85","3004.17","6733.84","14926.08","10873.24","NetBanking","Desktop","USA","Chennai"
"ORD00064","2024-03-04","CUST1997","Customer_880","P636","Product_37","Electronics","South","Corporate","Paid Search","CMP208","Campaign_35","2244","4187","3016","2188","12750","159","51","10353","2397","1563","6.07","96.2","468.18","1091.82","1530.00","622.4","Wallet","Tablet","Germany","Mumbai"
"ORD00065","2024-03-05","CUST5775","Customer_218","P865","Product_94","Fashion","West","SMB","Social","CMP647","Campaign_3","3888","8723","2215","120","107213","709","59","37211","70002","68980","4.73","91.87","2657.54","3028.05","12865.56","4135.32","NetBanking","Tablet","Germany","Bengaluru"
"ORD00066","2024-03-06","CUST1258","Customer_895","P838","Product_82","Home","South","SMB","Social","CMP234","Campaign_35","4102","2379","2351","440","242376","2153","1678","105293","137083","136641","2.43","9.5","5808.73","21517.09","29085.12","14547.4","Card","Mobile","Canada","Chennai"
"ORD00067","2024-03-07","CUST4062","Customer_610","P563","Product_53","Sports","West","SMB","Affiliate","CMP408","Campaign_11","3796","7900","1036","953","35210","337","318","23342","11868","11421","4.91","95.73","827.56","1439.25","4225.20","855.49","Card","Mobile","India","Chennai"
"ORD00068","2024-03-08","CUST1702","Customer_589","P229","Product_65","Sports","West","SMB","Email","CMP356","Campaign_32","3844","6101","3316","1342","205590","1346","172","42878","162712","162579","1.6","77.94","5248.34","22073.85","24670.80","3761.22","UPI","Mobile","India","Ahmedabad"
"ORD00069","2024-03-09","CUST6623","Customer_209","P301","Product_76","Sports","West","Corporate","Social","CMP422","Campaign_15","2073","3180","790","504","287389","1844","1119","48173","239216","238531","4.18","42.01","13763.43","13399.47","34486.68","10517.57","NetBanking","Mobile","UK","Bengaluru"
"ORD00070","2024-03-10","CUST4690","Customer_167","P127","Product_76","Sports","North","SMB","Affiliate","CMP960","Campaign_30","1254","6019","1015","858","244099","1213","51","27940","216159","215129","6.94","79.85","19365.63","16767.29","29291.88","3754","UPI","Desktop","Germany","Kolkata"
"ORD00071","2024-03-11","CUST6056","Customer_280","P201","Product_15","Beauty","North","SMB","Paid Search","CMP272","Campaign_14","2115","5125","3256","2518","285623","1497","100","51516","234107","233101","2.05","70.79","13404.63","28446.64","34274.76","7825.87","Card","Desktop","India","Mumbai"
"ORD00072","2024-03-12","CUST2664","Customer_335","P482","Product_87","Beauty","South","SMB","Paid Search","CMP242","Campaign_26","2664","2858","2769","1623","255631","1681","1214","41327","214304","214134","2.71","41.18","9495.76","25289.24","30675.72","6050.51","Card","Desktop","India","Bengaluru"
"ORD00073","2024-03-13","CUST2862","Customer_908","P939","Product_96","Books","West","Consumer","Email","CMP320","Campaign_8","3142","7839","2724","1942","307070","1682","854","80514","226556","225523","6.95","78.54","9673.07","13104.24","36848.40","9676.84","Card","Tablet","Canada","Mumbai"
"ORD00074","2024-03-14","CUST5533","Customer_908","P721","Product_70","Fashion","East","Consumer","Organic","CMP634","Campaign_28","1731","8028","599","542","321133","1601","1365","62569","258564","258164","7.32","80.06","18451.88","13635.57","38535.96","8900.35","Wallet","Mobile","USA","Kolkata"
"ORD00075","2024-03-15","CUST1924","Customer_619","P404","Product_70","Electronics","South","Corporate","Email","CMP278","Campaign_22","1284","8714","3179","157","26986","284","243","6680","20306","19505","0.89","96.74","2001.71","1172.31","3238.32","1582.45","Card","Mobile","Canada","Pune"
"ORD00076","2024-03-16","CUST3182","Customer_765","P762","Product_29","Fashion","West","Consumer","Paid Search","CMP833","Campaign_1","3189","7985","664","163","28500","312","130","10677","17823","16685","3.56","96.09","793.70","830.20","3420.00","2314.68","Card","Mobile","Canada","Hyderabad"
"ORD00077","2024-03-17","CUST2418","Customer_578","P381","Product_11","Books","North","Consumer","Affiliate","CMP614","Campaign_19","985","2145","2551","517","247516","2073","1459","56956","190560","189671","5.3","3.36","25028.53","19238.38","29701.92","8648.62","Card","Desktop","India","Pune"
"ORD00078","2024-03-18","CUST1567","Customer_267","P466","Product_86","Home","North","Corporate","Email","CMP793","Campaign_22","3761","7473","3618","2769","55770","568","383","29321","26449","25172","1.7","92.4","1382.85","6115.21","6692.40","1581.93","Card","Mobile","UK","Pune"
"ORD00079","2024-03-19","CUST9223","Customer_931","P187","Product_30","Sports","West","Corporate","Paid Search","CMP374","Campaign_13","3397","6206","2993","1647","51654","304","124","10693","40961","40317","2.04","95.1","1420.58","2769.69","6198.48","814.54","Card","Desktop","Germany","Bengaluru"
"ORD00080","2024-03-20","CUST5306","Customer_853","P983","Product_40","Electronics","North","SMB","Affiliate","CMP588","Campaign_35","2505","5347","1938","552","162303","904","351","43185","119118","118268","3.68","83.09","6379.16","4263.10","19476.36","4728.28","Card","Desktop","Germany","Delhi"
"ORD00081","2024-03-21","CUST2014","Customer_534","P969","Product_25","Home","North","Consumer","Email","CMP340","Campaign_10","2592","5652","1762","454","69516","980","433","25132","44384","43650","1.72","82.66","2581.94","6034.11","8341.92","3378.26","NetBanking","Desktop","Canada","Hyderabad"
"ORD00082","2024-03-22","CUST2308","Customer_867","P246","Product_21","Books","East","SMB","Social","CMP848","Campaign_17","3323","5838","750","172","133443","819","459","31988","101455","100928","6.58","85.97","3915.74","7669.96","16013.16","3778.44","Card","Tablet","India","Pune"
"ORD00083","2024-03-23","CUST5892","Customer_774","P774","Product_60","Beauty","South","Corporate","Email","CMP427","Campaign_5","2279","8395","3074","1622","88366","485","84","20224","68142","68014","5.29","94.22","3777.40","6860.02","10603.92","2562.02","UPI","Mobile","Germany","Chennai"
"ORD00084","2024-03-24","CUST7847","Customer_607","P959","Product_49","Electronics","East","Corporate","Paid Search","CMP257","Campaign_31","2361","2485","1244","152","310147","1926","612","69771","240376","240138","3.02","22.49","13036.26","11846.89","37217.64","10631.73","Card","Desktop","India","Delhi"
"ORD00085","2024-03-25","CUST9782","Customer_892","P901","Product_68","Books","East","SMB","Organic","CMP509","Campaign_13","900","1926","1175","348","219093","1189","445","41326","177767","176577","7.09","38.27","24243.67","8739.93","26291.16","4626.57","Card","Tablet","Canada","Hyderabad"
"ORD00086","2024-03-26","CUST4360","Customer_411","P431","Product_42","Fashion","West","Consumer","Affiliate","CMP743","Campaign_5","2352","1953","1244","767","122656","1152","217","68016","54640","53692","6.58","41.01","5114.97","10397.27","14718.72","5171.39","Card","Mobile","Germany","Bengaluru"
"ORD00087","2024-03-27","CUST7243","Customer_603","P886","Product_52","Books","South","Corporate","Social","CMP505","Campaign_6","2004","7889","1762","602","92670","1034","135","27854","64816","63966","1.04","86.89","4524.25","7231.66","11120.40","6435.83","Wallet","Tablet","Germany","Hyderabad"
"ORD00088","2024-03-28","CUST5960","Customer_744","P355","Product_91","Books","West","Consumer","Affiliate","CMP535","Campaign_19","1740","1955","1497","213","52001","260","148","8500","43501","43246","6.18","86.7","2888.56","2097.17","6240.12","1834.6","Card","Mobile","Canada","Ahmedabad"
"ORD00089","2024-03-29","CUST1450","Customer_469","P334","Product_19","Electronics","South","SMB","Organic","CMP956","Campaign_20","2124","5433","505","378","24619","159","74","11505","13114","12953","2.15","97.07","1059.09","2592.75","2954.28","450.46","UPI","Mobile","USA","Delhi"
"ORD00090","2024-03-30","CUST8828","Customer_979","P949","Product_66","Beauty","East","SMB","Organic","CMP393","Campaign_7","3220","3954","3397","3238","129459","836","402","32480","96979","96682","1.86","78.86","3920.47","5033.18","15535.08","5602.71","Wallet","Desktop","UK","Ahmedabad"
"ORD00091","2024-03-31","CUST5356","Customer_422","P648","Product_87","Books","East","Corporate","Email","CMP723","Campaign_27","1084","7307","1177","971","65640","576","272","17788","47852","47064","2.18","92.12","5955.35","3483.21","7876.80","2239.07","NetBanking","Mobile","Germany","Hyderabad"
"ORD00092","2024-04-01","CUST9123","Customer_687","P433","Product_39","Beauty","North","SMB","Organic","CMP264","Campaign_26","2457","5924","3659","714","35079","165","64","5757","29322","28698","3.73","97.21","1327.72","2835.13","4209.48","903.85","NetBanking","Tablet","India","Mumbai"
"ORD00093","2024-04-02","CUST7300","Customer_663","P745","Product_29","Sports","West","Corporate","Affiliate","CMP581","Campaign_21","4064","3291","2314","2208","148080","1089","465","70493","77587","77285","6.35","66.91","3543.70","8229.86","17769.60","3359.91","NetBanking","Tablet","Germany","Bengaluru"
"ORD00094","2024-04-03","CUST9389","Customer_731","P646","Product_64","Fashion","South","Corporate","Email","CMP758","Campaign_17","4118","7410","1565","499","161496","1314","1116","67190","94306","93313","2.99","82.27","3821.71","4420.77","19379.52","9523.08","NetBanking","Mobile","UK","Kolkata"
"ORD00095","2024-04-04","CUST7249","Customer_666","P574","Product_74","Electronics","North","SMB","Social","CMP277","Campaign_21","3408","1228","2394","1629","57096","316","273","12256","44840","44176","4","74.27","1575.35","1891.73","6851.52","819.9","NetBanking","Tablet","UK","Pune"
"ORD00096","2024-04-05","CUST9214","Customer_349","P570","Product_30","Beauty","South","Corporate","Social","CMP438","Campaign_18","2834","2796","2335","1174","101622","503","353","32511","69111","68011","0.95","82.01","3485.82","10118.03","12194.64","3030.43","Card","Desktop","USA","Kolkata"
"ORD00097","2024-04-06","CUST4078","Customer_481","P497","Product_20","Home","South","SMB","Paid Search","CMP337","Campaign_22","3865","6909","914","644","181937","1068","958","36973","144964","143920","1.07","84.54","4607.30","9924.65","21832.44","6671.13","NetBanking","Desktop","Germany","Mumbai"
"ORD00098","2024-04-07","CUST6140","Customer_385","P985","Product_90","Home","South","Consumer","Paid Search","CMP728","Campaign_37","1570","3308","705","322","363225","2053","549","122697","240528","239518","3.8","37.94","23035.35","27625.88","43587.00","8805.73","Card","Tablet","India","Pune"
"ORD00099","2024-04-08","CUST3145","Customer_155","P584","Product_22","Electronics","North","Consumer","Affiliate","CMP345","Campaign_32","2452","5766","602","526","107640","1341","1053","72184","35456","34840","2.6","76.74","4289.89","6729.74","12916.80","5442.22","NetBanking","Mobile","UK","Chennai"
"ORD00100","2024-04-09","CUST3483","Customer_253","P278","Product_68","Fashion","South","Corporate","Paid Search","CMP255","Campaign_24","3318","4064","1764","373","59762","327","167","18033","41729","41580","4.85","91.95","1701.15","2849.39","7171.44","1496.2","Card","Desktop","UK","Hyderabad"
